adult,genre_ids,id,original_language,title,release_date,vote_count
False,"[18, 10749]",11216,it,Cinema Paradiso,1988-11-17,4240
False,"[10749, 16]",372754,ja,Dou kyu sei – Classmates,2016-02-20,369
False,[18],550,en,Fight Club,1999-10-15,28786
False,[18],1058694,en,Radical,2023-10-19,381
False,"[12, 18, 878]",157336,en,Interstellar,2014-11-05,34703
False,"[27, 53, 9648]",539,en,Psycho,1960-06-22,9815
False,"[18, 80]",598,pt,City of God,2002-08-30,7155
False,[18],510,en,One Flew Over the Cuckoo's Nest,1975-11-19,10199
False,"[28, 12, 16, 18]",704264,en,Primal: Tales of Savagery,2019-11-21,307
False,"[10749, 18]",696374,en,Gabriel's Inferno,2020-05-29,2402
False,"[18, 80]",311,en,Once Upon a Time in America,1984-05-23,5226
False,"[12, 14, 28]",120,en,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,24560
False,"[14, 16, 12]",4935,ja,Howl's Moving Castle,2004-09-09,9575
False,"[16, 28, 12, 878]",324857,en,Spider-Man: Into the Spider-Verse,2018-12-06,15201
False,[18],255709,ko,Hope,2013-10-02,707
False,"[10749, 18]",724089,en,Gabriel's Inferno: Part II,2020-07-31,1507
False,"[35, 18, 14]",40096,pt,A Dog's Will,2000-09-15,1070
False,"[12, 14, 28]",121,en,The Lord of the Rings: The Two Towers,2002-12-18,21348
False,[10402],568332,en,Taylor Swift: Reputation Stadium Tour,2018-12-31,370
False,"[12, 28, 878]",1891,en,The Empire Strikes Back,1980-05-20,16604
