adult,genre_ids,id,original_language,title,release_date,vote_count
False,"[18, 10749]",447362,en,Life in a Year,2020-11-27,1798
False,"[16, 18, 10749]",652837,ja,"Josee, the Tiger and the Fish",2020-12-25,436
False,"[18, 10752]",25237,ru,Come and See,1985-10-17,1411
False,"[16, 28, 878, 18]",283566,ja,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,765
False,"[10751, 16, 18]",8587,en,The Lion King,1994-06-24,17872
False,"[10402, 18, 10749]",630566,en,Clouds,2020-10-09,989
False,"[12, 878, 28]",299534,en,Avengers: Endgame,2019-04-24,25078
False,"[18, 53, 9648, 28]",670,ko,Oldboy,2003-11-21,8397
False,"[16, 14, 10749, 18]",533514,ja,Violet Evergarden: The Movie,2020-09-18,397
False,"[16, 10751, 12, 35, 14]",508965,en,Klaus,2019-11-08,3903
False,"[12, 28, 878]",299536,en,Avengers: Infinity War,2018-04-25,29115
False,"[18, 36]",490132,en,Green Book,2018-11-16,11307
False,"[16, 10749, 18, 14]",572154,ja,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,507
False,"[18, 35]",42269,it,We All Loved Each Other So Much,1974-12-21,520
False,"[16, 12, 14, 35, 10751]",315162,en,Puss in Boots: The Last Wish,2022-12-07,7397
False,[18],265177,fr,Mommy,2014-09-19,2663
False,"[16, 28, 878]",618344,en,Justice League Dark: Apokolips War,2020-05-05,1428
False,"[16, 10751, 18, 14]",110420,ja,Wolf Children,2012-07-21,2222
False,"[16, 18, 10749]",504253,ja,I Want to Eat Your Pancreas,2018-09-01,1492
False,"[28, 16, 12, 14, 53]",635302,ja,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,3769
